date,state,dataQualityGrade,deathConfirmed,deathIncrease,hospitalizedCurrently,hospitalizedIncrease,positive,positiveIncrease,recovered,totalTestResults,totalTestResultsIncrease
23-11-20,AK,A,103,0,146,5,27085,498,7165,933016,6655
23-11-20,AL,A,3155,2,1427,493,234080,1574,90702,1533628,8242
23-11-20,AR,A+,2191,30,974,51,146190,1017,127059,1605173,10226
23-11-20,AS,D,,0,,0,0,0,,1988,0
23-11-20,AZ,A+,5992,0,2008,49,302324,2659,48807,2124873,20521
23-11-20,CA,B,,50,6254,0,1110370,8337,,22457544,220235
23-11-20,CO,A,,101,1711,42,202289,3689,11201,2901740,46130
23-11-20,CT,C,3915,43,875,0,106740,5271,9800,3038489,109429
23-11-20,DC,A+,,2,135,0,20290,139,14935,639461,8929
23-11-20,DE,A+,661,4,178,0,32211,403,16073,687482,7533
23-11-20,FL,A,18310,96,3754,100,930728,6114,,11740720,79792
23-11-20,GA,A+,8644,17,2257,26,406220,1809,,4139509,26729
23-11-20,GU,B,,0,48,0,6602,53,4846,80999,1114
23-11-20,HI,B,,0,72,0,17596,113,11958,636113,5756
23-11-20,IA,A+,,14,1333,0,189856,2351,116837,1040373,6573
23-11-20,ID,A,783,2,442,25,91653,819,38025,453872,2627
23-11-20,IL,A,11552,61,6171,0,664620,8322,,9892981,91562
23-11-20,IN,A+,5067,27,3219,317,300913,5556,169211,3939645,42100
23-11-20,KS,A+,,46,896,95,142059,7526,3189,784288,20395
23-11-20,KY,B,1747,5,1573,119,160232,2132,26611,2441630,33759
23-11-20,LA,A,6039,24,1012,0,221160,968,185960,3262192,10246
23-11-20,MA,A+,10299,19,922,0,208623,1773,145682,7920042,52280
23-11-20,MD,A,4293,14,1276,133,183797,1658,8511,4171674,30947
23-11-20,ME,A+,176,1,103,5,10544,185,7986,825349,29557
23-11-20,MI,A+,8543,65,4047,0,340964,11943,152267,6263536,99283
23-11-20,MN,A,3205,24,1778,177,276500,6343,227311,3756777,56434
23-11-20,MO,A+,,2,2805,0,274897,3370,,2942201,18772
23-11-20,MP,D,2,0,,0,104,0,29,16851,280
23-11-20,MS,A+,3233,0,1014,203,143879,699,121637,1091151,40980
23-11-20,MT,B,,11,467,27,56381,701,39450,617974,4965
23-11-20,NC,A+,4910,5,1601,0,339194,2419,293555,4983768,36154
23-11-20,ND,B,674,7,377,22,73397,714,62697,1033394,6472
23-11-20,NE,A,,4,976,19,114061,1032,58057,1262563,6796
23-11-20,NH,B,,0,121,1,18042,444,13226,770791,5872
23-11-20,NJ,A,14960,11,2693,123,309588,3581,41550,5675266,54117
23-11-20,NM,A,,17,846,124,84148,2252,29183,1464452,9455
23-11-20,NV,A,,6,1274,0,136227,2339,,1536076,15531
23-11-20,NY,B,,33,2724,0,602120,5906,83307,18187840,191489
23-11-20,OH,A+,5635,24,4358,282,363304,11885,230678,5683989,11885
23-11-20,OK,A+,,15,1505,35,177874,3544,142381,1967519,3544
23-11-20,OR,A+,,6,458,150,66333,1163,5870,1016282,6668
23-11-20,PA,A+,,28,3459,0,314401,4762,198072,3019571,18947
23-11-20,PR,B,812,15,607,0,48200,741,39214,354172,741
23-11-20,RI,A+,,6,285,0,50573,429,3436,1468082,7679
23-11-20,SC,A+,3987,5,844,33,207552,1257,108469,2267605,21037
23-11-20,SD,A+,,0,582,13,73848,783,55679,313297,2079
23-11-20,TN,A+,3957,35,2317,58,344550,4074,296592,4334644,28957
23-11-20,TX,A,,32,8353,0,1100979,6704,917739,10123856,132436
23-11-20,UT,A+,,4,558,70,179420,2244,117104,1735824,10113
23-11-20,VA,A+,3629,4,1512,163,221038,3242,23253,3161059,42165
23-11-20,VI,D,23,0,,0,1504,0,1407,27479,0
23-11-20,VT,B,63,0,19,0,3714,85,2300,523227,6566
23-11-20,WA,B,2619,0,784,0,141260,0,,2894367,0
23-11-20,WI,A+,3011,8,1999,107,379693,3455,280358,4196070,33414
23-11-20,WV,B,635,5,463,0,41114,636,26769,1038846,11877
23-11-20,WY,B,,26,224,31,29431,1262,17452,161219,1262
22-11-20,AK,A,103,1,133,0,26587,543,7165,926361,7616
22-11-20,AL,A,3153,0,1332,0,232506,1798,90702,1525386,7200
22-11-20,AR,A+,2161,20,962,57,145173,1352,125153,1594947,14006
22-11-20,AS,D,,0,,0,0,0,,1988,0
22-11-20,AZ,A+,5992,7,1932,231,299665,4331,48380,2104352,20709
22-11-20,CA,B,,33,5918,0,1102033,14319,,22237309,265477
22-11-20,CO,A,,0,1670,60,198600,3921,11014,2855610,47972
22-11-20,CT,C,3878,0,848,0,101469,0,9800,2929060,0
22-11-20,DC,A+,,0,136,0,20151,190,14882,630532,11748
22-11-20,DE,A+,657,2,177,0,31808,487,15890,679949,9593
22-11-20,FL,A,18214,62,3613,138,924614,6374,,11660928,90769
22-11-20,GA,A+,8627,19,2193,34,404411,1976,,4112780,26638
22-11-20,GU,A,,2,50,0,6549,73,4430,79885,73
22-11-20,HI,B,,2,72,0,17483,122,11958,630357,5342
22-11-20,IA,A+,,32,1340,0,187505,2537,116308,1033800,6727
22-11-20,ID,A,783,2,442,93,90834,1070,37504,451245,3244
22-11-20,IL,A,11506,99,6072,0,656298,10012,,9801419,92437
22-11-20,IN,A+,5040,59,3144,335,295357,6174,164992,3897545,51165
22-11-20,KS,A+,,0,1048,0,134533,0,3144,763893,0
22-11-20,KY,B,1742,4,1514,0,158100,2192,26156,2407871,0
22-11-20,LA,A,6015,27,967,0,220192,3483,185960,3251946,42569
22-11-20,MA,A+,10281,24,893,0,206850,2695,145682,7867762,110280
22-11-20,MD,A,4279,19,1237,202,182139,2168,8506,4140727,49895
22-11-20,ME,A+,175,2,94,6,10359,236,7791,795792,236
22-11-20,MI,A+,8478,0,3887,0,329021,0,152267,6164253,0
22-11-20,MN,A,3181,40,1784,184,270157,7205,219720,3700343,60166
22-11-20,MO,A+,,4,2817,0,271527,4215,,2923429,24361
22-11-20,MP,D,2,0,,0,104,1,29,16571,1
22-11-20,MS,A+,3233,19,999,0,143180,779,116683,1050171,779
22-11-20,MT,B,,3,477,14,55680,1138,39051,613009,4507
22-11-20,NC,A+,4907,29,1571,0,336775,4514,276132,4947614,69538
22-11-20,ND,B,667,0,379,35,72683,1143,61599,1026922,9893
22-11-20,NE,A,,8,963,29,113029,1368,16068,1255767,12514
22-11-20,NH,B,,4,117,1,17598,317,12887,764919,9416
22-11-20,NJ,A,14949,15,2568,106,306007,3968,41303,5621149,53807
22-11-20,NM,A,,33,845,33,81896,2456,28857,1454997,10876
22-11-20,NV,A,,6,1273,0,133888,2155,,1520545,13481
22-11-20,NY,B,,31,2562,0,596214,5392,83307,17996351,196610
22-11-20,OH,A+,5612,12,4181,205,351419,8133,227276,5672104,62509
22-11-20,OK,A+,,10,1505,149,174330,3406,140312,1963975,3406
22-11-20,OR,A+,,1,458,0,65170,1502,5870,1009614,8367
22-11-20,PA,A+,,41,3379,0,309639,7075,193640,3000624,29384
22-11-20,PR,B,798,5,606,0,47459,1025,39142,353431,1025
22-11-20,RI,A+,,3,285,31,50144,738,3436,1460403,18053
22-11-20,SC,A+,3982,9,809,35,206295,1277,107683,2246568,21316
22-11-20,SD,A+,,42,577,42,73065,851,55349,311218,2048
22-11-20,TN,A+,3929,55,2266,31,340476,4589,294231,4305687,36627
22-11-20,TX,A,,89,8174,0,1094275,8751,913796,9991420,83291
22-11-20,UT,A+,,6,579,74,177176,3197,115904,1725711,19107
22-11-20,VA,A+,3628,0,1469,42,217796,2117,23133,3118894,47759
22-11-20,VI,D,23,0,,0,1504,13,1407,27479,212
22-11-20,VT,B,63,0,22,0,3629,83,2279,516661,10118
22-11-20,WA,B,2619,0,784,48,141260,1717,,2894367,16473
22-11-20,WI,A+,3005,7,1988,89,376238,4019,276574,4162656,40477
22-11-20,WV,B,630,4,433,0,40478,880,26476,1026969,13926
22-11-20,WY,B,,0,235,0,28169,759,16807,159957,759
21-11-20,AK,A,102,1,129,6,26044,675,7165,918745,14033
21-11-20,AL,A,3153,6,1300,0,230708,2335,90702,1518186,9974
21-11-20,AR,A+,2141,16,922,62,143821,1905,123722,1580941,15068
21-11-20,AS,D,,0,,0,0,0,,1988,0
21-11-20,AZ,A+,5985,30,1916,129,295334,3638,47890,2083643,19754
21-11-20,CA,B,,86,5745,0,1087714,15442,,21971832,241281
21-11-20,CO,A,,0,1703,258,194679,6113,10831,2807638,54920
21-11-20,CT,C,3878,0,848,0,101469,0,9800,2929060,0
21-11-20,DC,A+,,1,122,0,19961,153,14821,618784,6580
21-11-20,DE,A+,655,0,172,0,31321,505,15735,670356,10902
21-11-20,FL,A,18152,42,3396,180,918240,8175,,11570159,113698
21-11-20,GA,A+,8624,37,2136,126,402435,3025,,4086142,43016
21-11-20,GU,A,,1,54,0,6476,24,4430,79812,24
21-11-20,HI,B,,7,72,6,17361,162,11958,625015,6837
21-11-20,IA,A+,,27,1416,0,184968,3178,115736,1027073,7599
21-11-20,ID,A,780,10,404,89,89764,1786,37232,448001,3775
21-11-20,IL,A,11430,157,6175,0,646286,11891,,9708982,120284
21-11-20,IN,A+,4992,40,3168,362,289183,6872,163741,3846380,60958
21-11-20,KS,A+,,0,1048,0,134533,0,3144,763893,0
21-11-20,KY,B,1738,21,1514,125,155908,3702,26156,2407871,52396
21-11-20,LA,A,5985,0,972,0,216709,0,185960,3209377,0
21-11-20,MA,A+,10257,19,891,0,204155,3206,145682,7757482,109239
21-11-20,MD,A,4261,17,1229,152,179971,2885,8498,4090832,51510
21-11-20,ME,A+,173,1,86,8,10123,165,7713,795556,165
